method,log_obs,RMSE
Handwritten,11.1 ± 0.17,1.1021 ± 0.0046
FitHand,-4.7 ± 12.0,0.92 ± 0.17
FitTV,-7.0 ± 7.1,0.903 ± 0.033
FitTruth,-21.0 ± 26.0,0.624 ± 0.043
EM,-43.6 ± 2.6,0.6894 ± 0.0031
SVI,-370.0 ± 390.0,2.2 ± 1.8
