method,log_obs,RMSE
Handwritten,-29.32068395614624,0.87273026
Super_Hand,2.4225688743591305,0.44003916
Super_TV,2.5538114023208616,0.46142435
Super_noiseless,4.323329105377197,0.32041
EM,6.240370836257934,0.30589184
