method,log_obs,RMSE
Handwritten,-1324.1293633550406,1.5496106
Super_Hand,34.00117900967598,0.5232622
Super_TV,-120.9211339123547,1.5911214
Super_noiseless,38.245712044090034,0.3439178
VI,22.2265820607543,0.75556636
EM,36.64307902976871,0.3706248
