method,log_obs,RMSE
Handwritten,-1388.0 ± 60.0,1.61 ± 0.05
Super_Hand,33.0 ± 1.4,0.55 ± 0.024
Super_TV,-133.7 ± 7.7,1.625 ± 0.032
Super_noiseless,37.74 ± 0.39,0.3539 ± 0.0092
VI,-67.0 ± 180.0,0.9 ± 0.27
EM,35.79 ± 0.62,0.3805 ± 0.0061
