method,log_obs,RMSE
Handwritten,-394.6 ± 8.1,1.499 ± 0.018
Super_Hand,0.33 ± 1.4,0.2183 ± 0.0018
Super_TV,-199.0 ± 38.0,0.98 ± 0.1
Super_noiseless,5.1 ± 0.56,0.1856 ± 0.0042
VI,-73.0 ± 84.0,0.55 ± 0.34
EM,5.83 ± 0.34,0.185 ± 0.0019
