step,training_time,log_obs,RMSE
1,0.399807905,-9.63675424030849,1.4552832
501,62.66523867200003,6.892154676573617,1.1987361
1001,124.57316846799995,20.753092084612167,0.9329747
1501,188.3285633939997,28.42853675569807,0.7802114
2001,251.6247990649995,31.342739718300955,0.7170402
2501,315.54153090899894,32.63379284313747,0.68804115
3001,381.384995843999,33.55796902520316,0.6709901
3501,444.33501523099943,33.946660246167866,0.66070616
4001,508.55967675899973,34.463145869118826,0.6544927
4501,572.198230886,34.65595953805106,0.64249283
5001,636.198999617001,34.80357377869742,0.63416725
5501,700.4552637850016,34.790496008736746,0.6204578
6001,765.2083906910007,34.83439891678946,0.60877657
6501,830.3205399500016,35.2207875932966,0.6000455
7001,895.8059965990025,35.14649667058672,0.59200925
7501,961.5308011370017,35.36643981933594,0.5826195
8001,1028.2316832940028,35.347341367176604,0.57096213
8501,1100.9662918730035,35.55299186706543,0.5600077
9001,1170.4498077820065,35.61924706186567,0.5487753
9501,1235.0246335740057,35.733077662331716,0.5408223
10001,1295.544645853006,35.71694867951529,0.53193134
10501,1352.344806930006,35.731962714876445,0.52446496
11001,1410.4937387630064,35.784426484789165,0.5136314
11501,1474.307865940005,35.86336656979152,0.5049088
12001,1539.5596079820052,35.99951539720808,0.49928084
12501,1604.0793901910085,36.06453929628645,0.4928296
13001,1669.3171863560094,36.050125564847676,0.48595053
13501,1734.8429564260082,36.25122216769627,0.48002657
14001,1800.5589626650092,36.2223288331713,0.4728268
14501,1866.2320897750083,36.162289483206614,0.46803793
15001,1932.2013778790083,36.183085918426514,0.46186167
15501,1997.9108964570105,36.17319587298802,0.45780197
16001,2064.2504963820115,36.08052856581552,0.45219153
16501,2130.546491761005,36.248870032174246,0.44776535
17001,2193.483514320004,36.376900400434224,0.44320482
17501,2258.7253302400018,36.258007935115266,0.4411209
18001,2323.743600292003,35.949680532727925,0.43756968
18501,2388.085211470003,36.15553314345224,0.43346593
19001,2452.6318792190036,36.436444112232756,0.4299342
19501,2516.5813669620024,36.16852756908962,0.42745274
20001,2579.8643564009994,36.069217307227,0.42270103
20501,2642.5822324499995,36.104860714503694,0.42171934
21001,2707.114838325001,36.47731188365391,0.4172487
21501,2770.571726847996,36.33899572917393,0.4152944
22001,2833.5803333279973,36.23394618715559,0.4137633
22501,2898.413925319999,35.873683077948435,0.4113586
23001,2964.1255255339997,36.326816763196675,0.4095922
23501,3029.422761894001,36.51388270514352,0.4081048
24001,3095.712855489006,35.81032446452549,0.40565795
24501,3160.252724651008,36.03718025343759,0.40432006
25001,3224.6091053680043,36.21634953362601,0.40272507
25501,3289.1387586480037,36.24440993581499,0.40159863
26001,3353.800074675008,36.313210419246126,0.40210485
26501,3418.9447378350083,36.26161592347281,0.40184778
27001,3484.7522549240102,36.09788857187544,0.4003963
27501,3550.8687320570093,36.17600107192993,0.3997429
28001,3616.072534730008,36.35997353281294,0.3980368
28501,3681.81492276201,36.14995970044817,0.397319
29001,3749.1293970910083,36.022784982408794,0.3976017
29501,3819.169621426012,35.92709766115461,0.39680213
30001,3888.465585758007,36.00899985858372,0.3971719
30501,3953.5445323460076,36.28524998256138,0.39550304
31001,4015.5768889780043,35.84055444172451,0.39632422
31501,4074.083182206005,36.06470618929182,0.39695352
32001,4130.566187433008,35.59496365274702,0.39781424
32501,4192.369646232003,36.16052722930908,0.39591685
33001,4255.996752261007,35.43488546780178,0.3958796
33501,4320.219304814013,36.026988880974905,0.39584213
34001,4385.163049740013,36.25377743584769,0.39528415
34501,4450.139248011008,36.039745569229126,0.39793983
35001,4515.876005197006,36.167083501815796,0.39536887
35501,4581.378640195008,36.001917941229685,0.39517543
36001,4647.755108138013,35.70147092001779,0.39394802
36501,4715.014312082016,36.11221293040684,0.39362746
37001,4782.0642665550295,36.14864502634321,0.39501458
37501,4849.209454736043,35.938115324292866,0.3939442
38001,4916.184703159043,36.011380672454834,0.39273563
38501,4982.958427621056,35.88329035895212,0.39200038
39001,5050.739107891049,35.86141514778137,0.39392373
39501,5117.15843650604,36.150573355810984,0.39375275
40001,5183.263182973039,35.860319001334055,0.39278045
