method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,-24.05785707024967,1.7110212,1.2819871,1.0232726,0.22519061,0.32486776,1.1636227,0.51571536,0.9719789,0.16641694,0.33863056
FitHand,-20.290516039904425,1.0974143,0.8568255,0.5661615,0.17457171,0.29113877,0.7810423,0.35681182,0.59462535,0.1466022,0.31701487
FitTV,-25.531201171874997,1.2815317,0.9148833,0.66700685,0.26491466,0.49839234,1.2672598,0.47783768,0.8777125,0.42013317,0.64610946
FitTruth,-21.455549559873695,0.79590607,0.6131657,0.4164931,0.16123152,0.19470572,0.567199,0.24545842,0.43833876,0.12417864,0.22803876
EM,-21.466130750319536,0.97921073,0.74214345,0.5508057,0.17438897,0.21158645,0.72297156,0.35365182,0.56516635,0.12562272,0.23985337
