name,log_obs,RMSE,open_loop
Handwritten,305.514 ± 0.091,0.7386 ± 0.0027,4.006 ± 0.0053
Super_Hand,340.022 ± 0.087,0.36202 ± 0.00087,2.1949 ± 0.0077
Super_TV,325.883 ± 0.058,0.3482 ± 0.00057,2.7402 ± 0.0058
Super_noiseless,352.99 ± 0.21,0.21898 ± 0.00089,0.8926 ± 0.0044
EM,354.829 ± 0.035,0.27865 ± 0.00043,0.9928 ± 0.003
VI,266.1 ± 1.3,0.418 ± 0.0067,12.918 ± 0.039
