name,log_obs,RMSE,open_loop
Handwritten,-6980.0 ± 580.0,1.789 ± 0.069,1.766 ± 0.076
Super_Hand,291.22 ± 0.16,0.578 ± 0.013,1.793 ± 0.0054
Super_TV,157.9 ± 7.5,1.079 ± 0.042,5.7179 ± 0.0057
Super_noiseless,293.915 ± 0.024,0.23217 ± 0.00088,0.8128 ± 0.0013
EM,297.5063 ± 0.0068,0.28993 ± 0.00068,0.9575 ± 0.0025
VI,255.2 ± 1.3,0.889 ± 0.014,2.5377 ± 0.0053
