method,log_obs,RMSE
Handwritten,-53.9 ± 1.0,1.622 ± 0.017
FitHand,3.9 ± 0.28,0.981 ± 0.018
FitTV,-4.58 ± 0.74,1.3932 ± 0.0071
FitTruth,5.37 ± 0.81,0.935 ± 0.066
EM,10.43 ± 0.24,0.6147 ± 0.0057
