method,log_obs,RMSE
Handwritten,-52.89014419146946,1.6060326
FitHand,4.147497739110674,0.9666608
FitTV,-3.781232680593218,1.3853185
FitTruth,6.29107140472957,0.8881482
EM,10.676883925710408,0.6084572
