step,training_time,log_obs,total,location,velocity,angle,ω
1,0.560032431,-417.86331777572633,4.2725425,3.8267784,1.5583214,0.47622237,0.49508947
501,145.60138340399988,-182.2037338733673,2.444366,1.9946762,1.2435848,0.28898242,0.40756792
1001,290.92057494199986,10.251022362709046,0.771312,0.4883378,0.44439927,0.14245686,0.35759443
1501,435.7729179040001,20.079227876663207,0.6554819,0.41356033,0.3958594,0.10700826,0.29102898
2001,580.8890754369995,25.289093494415283,0.5670029,0.35606986,0.3613719,0.08119195,0.22990021
2501,725.7692723689984,28.483810234069825,0.53467274,0.3470466,0.34241506,0.07095038,0.20183894
3001,870.2971841189981,29.54577522277832,0.48804298,0.31029227,0.31403702,0.06828053,0.19005582
3501,1014.6601469519982,31.069936418533324,0.45661545,0.28356415,0.29573172,0.061313726,0.18374476
4001,1159.073476047996,31.81788864135742,0.4336638,0.2697546,0.2760425,0.060949825,0.17973658
4501,1303.138789698996,32.551456332206726,0.42392063,0.26621634,0.26455832,0.060262717,0.17894359
5001,1447.0426197979953,32.73899252414704,0.4185237,0.26730812,0.25599936,0.0602444,0.1763779
5501,1590.952061552995,32.724471998214725,0.42336816,0.27535444,0.25315756,0.06088255,0.17439902
6001,1734.9557079889914,32.86545076370239,0.41686344,0.271775,0.2492232,0.06009065,0.17095856
6501,1879.2896844679913,33.38748602867126,0.40747076,0.26338404,0.24357775,0.060068626,0.16919291
7001,2023.6727741249892,33.24222941398621,0.40521508,0.26416138,0.24212956,0.059651125,0.16492157
7501,2167.776375422996,33.65066118240357,0.39161184,0.25209817,0.23632567,0.05913196,0.16096528
8001,2311.99821609,33.486059761047365,0.39628902,0.25992018,0.23556527,0.059090175,0.1585245
8501,2456.351235702995,33.54985942840576,0.4011237,0.2672535,0.23724937,0.059660204,0.15545431
9001,2600.548674004998,33.439980030059814,0.40485317,0.27183038,0.23870781,0.060686447,0.15280584
9501,2744.7608159859983,33.1760187625885,0.40607914,0.27638268,0.2368439,0.060037337,0.1498678
10001,2889.1132188479974,33.58950223922729,0.39802402,0.26951405,0.23425743,0.059935264,0.14695613
10501,3033.3594783280005,33.592397689819336,0.39339107,0.26531926,0.23318014,0.059872694,0.14428246
11001,3177.3920305240026,33.74200038909912,0.39533308,0.2704593,0.2312289,0.05876528,0.14169776
11501,3321.926015061005,33.28529806137085,0.39492935,0.27043214,0.23126218,0.060043372,0.13985772
12001,3466.8273104970035,33.619316244125365,0.401326,0.27972513,0.23171183,0.059609525,0.13721481
12501,3611.6980097720016,33.535681104660036,0.38854542,0.26636457,0.22896771,0.058886856,0.13586603
13001,3756.5465346399983,33.934969425201416,0.38454348,0.2632053,0.22874177,0.057112563,0.13371077
13501,3900.7804772180034,33.29026875495911,0.3975215,0.27756268,0.2319655,0.059803136,0.13206336
14001,4045.170557662998,33.56067490577698,0.3866935,0.26655692,0.2290839,0.058789153,0.13030049
14501,4189.66716946799,33.4335205078125,0.3816968,0.2623148,0.22739176,0.057798244,0.12838969
15001,4334.372540817999,33.00801954269409,0.38517195,0.26771927,0.22769336,0.058315612,0.12717949
15501,4479.071211736991,33.2656268119812,0.38594347,0.2686459,0.2267158,0.05927647,0.12562312
16001,4624.006210524991,32.97502112388611,0.3902771,0.2738013,0.22938485,0.059645724,0.12401514
16501,4768.704936674993,33.46290483474731,0.37794617,0.26077113,0.2254231,0.058148533,0.12319063
17001,4913.646687849996,32.19794120788574,0.3852466,0.26986533,0.22884047,0.05718987,0.12145913
17501,5058.106924711989,32.60331521034241,0.3938929,0.28035018,0.2302041,0.05892881,0.12052365
18001,5202.866718847992,33.45127429962158,0.3771158,0.26175633,0.22553977,0.057253413,0.11897459
18501,5347.6249406699935,32.821749973297116,0.38671368,0.27335507,0.22808042,0.05924827,0.11808761
19001,5492.494541651997,32.50584869384765,0.39521044,0.28464448,0.23032856,0.058158465,0.11679276
19501,5637.731112009995,32.517249298095706,0.38329068,0.27103955,0.22813389,0.057706483,0.11556383
20001,5782.347799987992,32.609516620635986,0.39196563,0.28143927,0.22890563,0.058659397,0.114584364
20501,5927.2410914520015,32.58852381706238,0.38016623,0.26889375,0.22582766,0.05716429,0.113594994
21001,6072.386515841012,32.570654296875,0.38905105,0.27985042,0.2274473,0.057741642,0.112696335
21501,6217.232579977011,32.40688428878784,0.38122112,0.2706222,0.22660284,0.058038034,0.11188196
22001,6362.13140867201,32.51113166809082,0.382748,0.27180356,0.22602387,0.059432834,0.11144366
22501,6507.297661623006,32.30522074699402,0.37251952,0.26194733,0.22331524,0.05773536,0.1106866
23001,6652.195704616002,32.85607285499573,0.37266773,0.2618229,0.22315459,0.05697172,0.11064724
23501,6797.015141371996,31.880643129348755,0.39008528,0.28231063,0.22715826,0.05959319,0.10922458
24001,6942.289382827003,31.38378438949585,0.39207444,0.28360444,0.22824505,0.060576487,0.11011404
24501,7087.33984457,32.34387907981873,0.3861092,0.27684805,0.22713795,0.058519833,0.10865575
25001,7232.699471570001,32.43568539619446,0.38455537,0.27633834,0.22743604,0.057308204,0.10891511
25501,7377.6512151019915,31.859160470962525,0.38975778,0.28209397,0.22841612,0.05893024,0.10811623
26001,7523.269865606991,31.789378356933593,0.3930453,0.28437793,0.23074067,0.059762497,0.10735973
26501,7670.267210670993,31.035995101928712,0.40532055,0.2989026,0.23129189,0.061534137,0.10713426
27001,7817.315729672988,31.947464847564696,0.38535553,0.2766961,0.22699633,0.05974595,0.10722687
27501,7964.986599958981,31.647729444503785,0.38915163,0.2835707,0.22640543,0.060606193,0.10578041
28001,8112.233298133974,31.276732683181763,0.39581695,0.28929904,0.22864738,0.061603844,0.10640826
