step,training_time,log_obs,total,location,velocity,angle,ω
1,0.769421079,-419.1246824026108,4.571604,4.121516,1.6369375,0.53372884,0.49796262
501,144.37716494300005,-379.504722237587,4.362403,3.735497,2.0775056,0.34281284,0.4212629
1001,288.17657247000017,-46.489687299728395,1.3676993,1.011481,0.77374256,0.20120215,0.38427597
1501,432.23030233400004,13.938080978393554,0.70943457,0.42520675,0.4187501,0.13358867,0.3481574
2001,575.9319898750009,20.129542326927186,0.65405786,0.4057228,0.4024861,0.10598928,0.28917974
2501,719.8435927500009,24.14399437904358,0.6038225,0.38528168,0.38075274,0.092672095,0.24075715
3001,863.5414449200017,27.801751470565797,0.5555355,0.3597198,0.3547765,0.073931485,0.21057686
3501,1006.9089270870021,29.316908264160155,0.5200756,0.33713394,0.33414897,0.06981669,0.19425528
4001,1150.3319757680013,30.284161853790284,0.47960433,0.30611363,0.3042622,0.0684172,0.19186623
4501,1293.780019321998,30.743792819976807,0.4593165,0.29147285,0.28893524,0.06616239,0.18675035
5001,1436.1791256249974,32.19975471496582,0.43578967,0.2724404,0.27421823,0.06192819,0.18462521
5501,1578.182264501999,32.215255212783816,0.43328485,0.27639133,0.26512566,0.061325736,0.1816912
6001,1720.6153571149996,32.50328769683838,0.43168697,0.2807467,0.25981072,0.061716318,0.17899059
6501,1864.083547351998,33.175541925430295,0.41228724,0.26251158,0.24827456,0.06034366,0.17709787
7001,2009.2586609319976,33.10756540298462,0.4108306,0.26513082,0.24530764,0.059862234,0.1738672
7501,2153.924350012997,33.08915972709656,0.41061145,0.26812842,0.2428724,0.061365224,0.17065597
8001,2295.882141059994,33.62422280311584,0.39950544,0.25827008,0.23820153,0.058561675,0.16759837
8501,2437.6159601509917,33.433091974258424,0.40674073,0.26853284,0.23822077,0.060201705,0.16431573
9001,2579.652413016996,33.871650266647336,0.39155647,0.25387648,0.23274922,0.059128083,0.16129372
9501,2722.405120633999,33.1180645942688,0.41436625,0.28097767,0.23919806,0.06225922,0.15838583
10001,2864.3827805489977,33.41495804786682,0.40451318,0.2742054,0.23402569,0.060322803,0.1551046
10501,3006.451455144002,33.574670457839964,0.3946059,0.26359448,0.2319959,0.05981368,0.15238997
11001,3148.1933695799994,33.37479739189148,0.4072457,0.28015423,0.23397195,0.06021716,0.14984529
11501,3290.3782847109987,33.86387038230896,0.39069813,0.26224747,0.23126177,0.05855282,0.14715642
12001,3433.087169847999,34.08284301757813,0.38204247,0.2537976,0.22863367,0.059054036,0.1445999
12501,3575.283940475999,33.826151609420776,0.38838342,0.26304314,0.22911696,0.058868058,0.14238057
13001,3717.547795352998,33.50998725891113,0.3914159,0.26744545,0.22899719,0.059443533,0.14033529
13501,3859.3971513760007,33.42605438232422,0.39598402,0.27485767,0.23075517,0.058522157,0.13800189
14001,4001.119608814002,33.73534026145935,0.38158575,0.2591441,0.2264683,0.058171265,0.13657522
14501,4142.971515463008,33.56484508514404,0.3894455,0.26858935,0.22899123,0.06008737,0.13418281
15001,4285.024702750013,33.45048952102661,0.38549086,0.26590163,0.2274121,0.05852157,0.13257441
15501,4427.149495639012,33.55580563545227,0.3925447,0.27305683,0.2296429,0.058977872,0.13068928
16001,4569.071668330012,33.34849891662598,0.38762516,0.26871783,0.22844431,0.05922457,0.12940817
16501,4711.212109057004,33.0323832988739,0.38330838,0.26474255,0.22753623,0.058609884,0.12802823
17001,4853.481043669994,33.59147539138794,0.37285307,0.25468764,0.2240274,0.05639875,0.12626287
17501,4995.545497640005,33.54632091522217,0.38183492,0.2643676,0.22787659,0.057944886,0.12463093
18001,5137.572197850009,33.175768280029295,0.3823469,0.2649472,0.2285415,0.05735568,0.12365401
18501,5279.603975516005,32.281912088394165,0.39264515,0.27772573,0.23069982,0.0592859,0.122915015
19001,5421.255148167009,33.440493154525754,0.3783928,0.26274496,0.22646053,0.057398207,0.12147305
19501,5563.162415661014,33.35827608108521,0.38336402,0.2691028,0.22728407,0.057320915,0.120941676
20001,5705.307348991017,33.03953738212586,0.38664153,0.27199313,0.22891423,0.05886326,0.11947112
20501,5846.3565190910185,32.94792733192444,0.38199204,0.267352,0.22843127,0.057795204,0.1178939
21001,5987.384361265011,33.004913091659546,0.38701075,0.2730218,0.23002636,0.058494,0.117195584
21501,6128.494636363017,32.62237339019775,0.38986704,0.2779843,0.22882064,0.057891034,0.116463855
22001,6271.043930968009,32.1257387638092,0.402853,0.29141608,0.23376408,0.06031668,0.11553524
22501,6411.830814055012,33.686534786224364,0.3749685,0.26172203,0.22607164,0.05548851,0.11523092
23001,6553.410606546013,31.964905166625975,0.39349705,0.28159085,0.23191038,0.060032934,0.114787534
23501,6694.804702213011,32.45283341407776,0.3838887,0.27107388,0.22835317,0.05841897,0.11368565
24001,6836.814724357,32.644502353668216,0.38078576,0.2679115,0.22771934,0.057504542,0.11385016
24501,6978.086651420001,32.552912092208864,0.39277944,0.2825235,0.23106623,0.057482164,0.11356833
25001,7118.695800129996,32.45945897102356,0.38465112,0.2721555,0.2307457,0.058374412,0.112857535
25501,7259.4484122689955,31.87239465713501,0.39043656,0.2787866,0.23284984,0.059481513,0.11191251
26001,7401.318462086992,32.84766173362732,0.3930259,0.2811988,0.23336959,0.058106206,0.11110608
26501,7542.142860354996,31.750047159194946,0.38967425,0.27831885,0.23078708,0.059731465,0.11168213
27001,7682.684461287001,32.628245162963864,0.3828664,0.26922658,0.23044927,0.058364887,0.11109179
